epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,49.3599,0.63131,0.995,1,0.02254,0.00023744,0.00023744,0.00023744
2,97.9661,0.04337,0.99206,1,0.03829,0.000451906,0.000451906,0.000451906
3,145.772,0.04038,0.99706,1,0.01239,0.000642809,0.000642809,0.000642809
4,202.698,0.02337,0.99735,1,0.01221,0.000607971,0.000607971,0.000607971
5,267.646,0.02133,0.99676,1,0.01529,0.000572628,0.000572628,0.000572628
6,337.606,0.01496,0.99853,1,0.01361,0.000537285,0.000537285,0.000537285
7,412.944,0.01277,0.99794,1,0.0156,0.000501942,0.000501942,0.000501942
8,485.801,0.01394,0.99794,0.99971,0.00966,0.000466599,0.000466599,0.000466599
9,571.026,0.00938,0.99647,1,0.01341,0.000431256,0.000431256,0.000431256
10,654.595,0.00757,0.99824,1,0.0088,0.000395913,0.000395913,0.000395913
11,756.843,0.00506,0.99912,0.99971,0.00871,0.00036057,0.00036057,0.00036057
12,821.826,0.00338,0.99853,1,0.00732,0.000325227,0.000325227,0.000325227
13,905.624,0.00608,0.99912,1,0.00843,0.000289884,0.000289884,0.000289884
14,987.676,0.00383,0.99912,1,0.00913,0.000254541,0.000254541,0.000254541
15,1074.66,0.00543,0.99912,1,0.00894,0.000219198,0.000219198,0.000219198
16,1153.69,0.00204,0.99971,1,0.008,0.000183855,0.000183855,0.000183855
17,1242.34,0.00335,0.99941,1,0.00769,0.000148512,0.000148512,0.000148512
18,1322.52,0.00286,0.99912,1,0.00737,0.000113169,0.000113169,0.000113169
19,1407.77,0.00166,0.99912,1,0.00761,7.7826e-05,7.7826e-05,7.7826e-05
20,1489.56,0.00194,0.99941,1,0.00747,4.2483e-05,4.2483e-05,4.2483e-05
